№ указу,Дата указу,Посилання
159/2024,14.03.2024,https://www.president.gov.ua/documents/1592024-50093
154/2024,13.03.2024,https://www.president.gov.ua/documents/1542024-50077
151/2024,12.03.2024,https://www.president.gov.ua/documents/1512024-50061
152/2024,12.03.2024,https://www.president.gov.ua/documents/1522024-50057
147/2024,07.03.2024,https://www.president.gov.ua/documents/1472024-50017
148/2024,07.03.2024,https://www.president.gov.ua/documents/1482024-50021
135/2024,29.02.2024,https://www.president.gov.ua/documents/1352024-49973
136/2024,29.02.2024,https://www.president.gov.ua/documents/1362024-49977
127/2024,24.02.2024,https://www.president.gov.ua/documents/1272024-49837
128/2024,24.02.2024,https://www.president.gov.ua/documents/1282024-49833
129/2024,24.02.2024,https://www.president.gov.ua/documents/1292024-49825
130/2024,24.02.2024,https://www.president.gov.ua/documents/1302024-49829
95/2024,23.02.2024,https://www.president.gov.ua/documents/952024-49817
96/2024,23.02.2024,https://www.president.gov.ua/documents/962024-49669
98/2024,23.02.2024,https://www.president.gov.ua/documents/982024-49821
81/2024,18.02.2024,https://www.president.gov.ua/documents/812024-49773
75/2024,12.02.2024,https://www.president.gov.ua/documents/752024-49653
76/2024,12.02.2024,https://www.president.gov.ua/documents/762024-49749
63/2024,09.02.2024,https://www.president.gov.ua/documents/632024-49641
52/2024,06.02.2024,https://www.president.gov.ua/documents/522024-49613
53/2024,06.02.2024,https://www.president.gov.ua/documents/532024-49633
54/2024,06.02.2024,https://www.president.gov.ua/documents/542024-49637
39/2024,02.02.2024,https://www.president.gov.ua/documents/392024-49601
40/2024,02.02.2024,https://www.president.gov.ua/documents/402024-49581
41/2024,02.02.2024,https://www.president.gov.ua/documents/412024-49605
42/2024,02.02.2024,https://www.president.gov.ua/documents/422024-49573
43/2024,02.02.2024,https://www.president.gov.ua/documents/432024-49609
45/2024,02.02.2024,https://www.president.gov.ua/documents/452024-49645
35/2024,29.01.2024,https://www.president.gov.ua/documents/352024-49577
24/2024,26.01.2024,https://www.president.gov.ua/documents/242024-49525
32/2024,26.01.2024,https://www.president.gov.ua/documents/322024-49537
23/2024,25.01.2024,https://www.president.gov.ua/documents/232024-49529
16/2024,22.01.2024,https://www.president.gov.ua/documents/162024-49517
19/2024,22.01.2024,https://www.president.gov.ua/documents/192024-49509
14/2024,20.01.2024,https://www.president.gov.ua/documents/142024-49501
15/2024,20.01.2024,https://www.president.gov.ua/documents/152024-49505
12/2024,18.01.2024,https://www.president.gov.ua/documents/122024-49497
13/2024,18.01.2024,https://www.president.gov.ua/documents/132024-49485
11/2024,12.01.2024,https://www.president.gov.ua/documents/112024-49493
9/2024,11.01.2024,https://www.president.gov.ua/documents/92024-49477
5/2024,08.01.2024,https://www.president.gov.ua/documents/52024-49449
6/2024,08.01.2024,https://www.president.gov.ua/documents/62024-49453
7/2024,08.01.2024,https://www.president.gov.ua/documents/72024-49457
2/2024,02.01.2024,https://www.president.gov.ua/documents/22024-49445
864/2023,30.12.2023,https://www.president.gov.ua/documents/8642023-49401
865/2023,30.12.2023,https://www.president.gov.ua/documents/8652023-49405
866/2023,30.12.2023,https://www.president.gov.ua/documents/8662023-49409
867/2023,30.12.2023,https://www.president.gov.ua/documents/8672023-49413
870/2023,30.12.2023,https://www.president.gov.ua/documents/8702023-49429
863/2023,29.12.2023,https://www.president.gov.ua/documents/8632023-49397
860/2023,28.12.2023,https://www.president.gov.ua/documents/8602023-49389
861/2023,28.12.2023,https://www.president.gov.ua/documents/8612023-49377
854/2023,27.12.2023,https://www.president.gov.ua/documents/8542023-49381
855/2023,27.12.2023,https://www.president.gov.ua/documents/8552023-49357
856/2023,27.12.2023,https://www.president.gov.ua/documents/8562023-49345
847/2023,22.12.2023,https://www.president.gov.ua/documents/8472023-49245
848/2023,22.12.2023,https://www.president.gov.ua/documents/8482023-49325
849/2023,22.12.2023,https://www.president.gov.ua/documents/8492023-49253
828/2023,21.12.2023,https://www.president.gov.ua/documents/8282023-49257
830/2023,21.12.2023,https://www.president.gov.ua/documents/8302023-49285
824/2023,20.12.2023,https://www.president.gov.ua/documents/8242023-49217
825/2023,20.12.2023,https://www.president.gov.ua/documents/8252023-49221
826/2023,20.12.2023,https://www.president.gov.ua/documents/8262023-49213
827/2023,20.12.2023,https://www.president.gov.ua/documents/8272023-49229
821/2023,18.12.2023,https://www.president.gov.ua/documents/8212023-49241
816/2023,08.12.2023,https://www.president.gov.ua/documents/8162023-49197
817/2023,08.12.2023,https://www.president.gov.ua/documents/8172023-49201
818/2023,08.12.2023,https://www.president.gov.ua/documents/8182023-49205
815/2023,07.12.2023,https://www.president.gov.ua/documents/8152023-49169
798/2023,04.12.2023,https://www.president.gov.ua/documents/7982023-49117
794/2023,01.12.2023,https://www.president.gov.ua/documents/7942023-49077
795/2023,01.12.2023,https://www.president.gov.ua/documents/7952023-49073
796/2023,01.12.2023,https://www.president.gov.ua/documents/7962023-49061
797/2023,01.12.2023,https://www.president.gov.ua/documents/7972023-49065
792/2023,29.11.2023,https://www.president.gov.ua/documents/7922023-49081
791/2023,28.11.2023,https://www.president.gov.ua/documents/7912023-49069
790/2023,27.11.2023,https://www.president.gov.ua/documents/7902023-49041
775/2023,24.11.2023,https://www.president.gov.ua/documents/7752023-48985
776/2023,24.11.2023,https://www.president.gov.ua/documents/7762023-48989
777/2023,24.11.2023,https://www.president.gov.ua/documents/7772023-48993
763/2023,20.11.2023,https://www.president.gov.ua/documents/7632023-48929
754/2023,17.11.2023,https://www.president.gov.ua/documents/7542023-48889
755/2023,17.11.2023,https://www.president.gov.ua/documents/7552023-48877
756/2023,17.11.2023,https://www.president.gov.ua/documents/7562023-48881
750/2023,16.11.2023,https://www.president.gov.ua/documents/7502023-48905
751/2023,16.11.2023,https://www.president.gov.ua/documents/7512023-48893
752/2023,16.11.2023,https://www.president.gov.ua/documents/7522023-48885
745/2023,10.11.2023,https://www.president.gov.ua/documents/7452023-48849
746/2023,10.11.2023,https://www.president.gov.ua/documents/7462023-48853
747/2023,10.11.2023,https://www.president.gov.ua/documents/7472023-48857
741/2023,08.11.2023,https://www.president.gov.ua/documents/7412023-48825
742/2023,08.11.2023,https://www.president.gov.ua/documents/7422023-48829
743/2023,08.11.2023,https://www.president.gov.ua/documents/7432023-48757
724/2023,03.11.2023,https://www.president.gov.ua/documents/7242023-48793
725/2023,03.11.2023,https://www.president.gov.ua/documents/7252023-48761
726/2023,03.11.2023,https://www.president.gov.ua/documents/7262023-48781
731/2023,03.11.2023,https://www.president.gov.ua/documents/7312023-48777
732/2023,03.11.2023,https://www.president.gov.ua/documents/7322023-48773
723/2023,02.11.2023,https://www.president.gov.ua/documents/7232023-48769
718/2023,31.10.2023,https://www.president.gov.ua/documents/7182023-48765
719/2023,31.10.2023,https://www.president.gov.ua/documents/7192023-48745
715/2023,30.10.2023,https://www.president.gov.ua/documents/7152023-48713
708/2023,24.10.2023,https://www.president.gov.ua/documents/7082023-48557
709/2023,24.10.2023,https://www.president.gov.ua/documents/7092023-48705
696/2023,19.10.2023,https://www.president.gov.ua/documents/6962023-48665
697/2023,19.10.2023,https://www.president.gov.ua/documents/6972023-48661
698/2023,19.10.2023,https://www.president.gov.ua/documents/6982023-48561
692/2023,16.10.2023,https://www.president.gov.ua/documents/6922023-48637
693/2023,16.10.2023,https://www.president.gov.ua/documents/6932023-48629
694/2023,16.10.2023,https://www.president.gov.ua/documents/6942023-48633
687/2023,12.10.2023,https://www.president.gov.ua/documents/6872023-48613
688/2023,12.10.2023,https://www.president.gov.ua/documents/6882023-48605
689/2023,12.10.2023,https://www.president.gov.ua/documents/6892023-48609
683/2023,09.10.2023,https://www.president.gov.ua/documents/6832023-48565
684/2023,09.10.2023,https://www.president.gov.ua/documents/6842023-48569
674/2023,02.10.2023,https://www.president.gov.ua/documents/6742023-48545
675/2023,02.10.2023,https://www.president.gov.ua/documents/6752023-48553
673/2023,29.09.2023,https://www.president.gov.ua/documents/6732023-48533
596/2023,28.09.2023,https://www.president.gov.ua/documents/5962023-48237
597/2023,28.09.2023,https://www.president.gov.ua/documents/5972023-48241
598/2023,28.09.2023,https://www.president.gov.ua/documents/5982023-48245
599/2023,28.09.2023,https://www.president.gov.ua/documents/5992023-48249
600/2023,28.09.2023,https://www.president.gov.ua/documents/6002023-48253
601/2023,28.09.2023,https://www.president.gov.ua/documents/6012023-48257
603/2023,28.09.2023,https://www.president.gov.ua/documents/6032023-48277
590/2023,27.09.2023,https://www.president.gov.ua/documents/5902023-48261
588/2023,25.09.2023,https://www.president.gov.ua/documents/5882023-48197
584/2023,15.09.2023,https://www.president.gov.ua/documents/5842023-48209
585/2023,15.09.2023,https://www.president.gov.ua/documents/5852023-48157
586/2023,15.09.2023,https://www.president.gov.ua/documents/5862023-48161
587/2023,15.09.2023,https://www.president.gov.ua/documents/5872023-48165
583/2023,14.09.2023,https://www.president.gov.ua/documents/5832023-48193
580/2023,13.09.2023,https://www.president.gov.ua/documents/5802023-48149
581/2023,13.09.2023,https://www.president.gov.ua/documents/5812023-48153
577/2023,12.09.2023,https://www.president.gov.ua/documents/5772023-48089
578/2023,12.09.2023,https://www.president.gov.ua/documents/5782023-48109
579/2023,12.09.2023,https://www.president.gov.ua/documents/5792023-48105
566/2023,08.09.2023,https://www.president.gov.ua/documents/5662023-48045
573/2023,08.09.2023,https://www.president.gov.ua/documents/5732023-48029
565/2023,07.09.2023,https://www.president.gov.ua/documents/5652023-48033
556/2023,04.09.2023,https://www.president.gov.ua/documents/5562023-48201
553/2023,03.09.2023,https://www.president.gov.ua/documents/5532023-48005
554/2023,03.09.2023,https://www.president.gov.ua/documents/5542023-48025
555/2023,03.09.2023,https://www.president.gov.ua/documents/5552023-48009
550/2023,01.09.2023,https://www.president.gov.ua/documents/5502023-48001
513/2023,24.08.2023,https://www.president.gov.ua/documents/5132023-47909
514/2023,24.08.2023,https://www.president.gov.ua/documents/5142023-47913
515/2023,24.08.2023,https://www.president.gov.ua/documents/5152023-47821
517/2023,24.08.2023,https://www.president.gov.ua/documents/5172023-47921
498/2023,23.08.2023,https://www.president.gov.ua/documents/4982023-47841
500/2023,23.08.2023,https://www.president.gov.ua/documents/5002023-47845
502/2023,23.08.2023,https://www.president.gov.ua/documents/5022023-47985
493/2023,18.08.2023,https://www.president.gov.ua/documents/4932023-47837
490/2023,17.08.2023,https://www.president.gov.ua/documents/4902023-47789
488/2023,16.08.2023,https://www.president.gov.ua/documents/4882023-47777
489/2023,16.08.2023,https://www.president.gov.ua/documents/4892023-47781
486/2023,14.08.2023,https://www.president.gov.ua/documents/4862023-47785
485/2023,11.08.2023,https://www.president.gov.ua/documents/4852023-47773
483/2023,09.08.2023,https://www.president.gov.ua/documents/4832023-47765
482/2023,08.08.2023,https://www.president.gov.ua/documents/4822023-47761
470/2023,04.08.2023,https://www.president.gov.ua/documents/4702023-47693
471/2023,04.08.2023,https://www.president.gov.ua/documents/4712023-47697
473/2023,04.08.2023,https://www.president.gov.ua/documents/4732023-47701
456/2023,28.07.2023,https://www.president.gov.ua/documents/4562023-47665
463/2023,28.07.2023,https://www.president.gov.ua/documents/4632023-47685
467/2023,28.07.2023,https://www.president.gov.ua/documents/4672023-47677
468/2023,28.07.2023,https://www.president.gov.ua/documents/4682023-47681
448/2023,26.07.2023,https://www.president.gov.ua/documents/4482023-47621
449/2023,26.07.2023,https://www.president.gov.ua/documents/4492023-47625
450/2023,26.07.2023,https://www.president.gov.ua/documents/4502023-47613
445/2023,25.07.2023,https://www.president.gov.ua/documents/4452023-47597
446/2023,25.07.2023,https://www.president.gov.ua/documents/4462023-47633
447/2023,25.07.2023,https://www.president.gov.ua/documents/4472023-47617
440/2023,19.07.2023,https://www.president.gov.ua/documents/4402023-47581
432/2023,18.07.2023,https://www.president.gov.ua/documents/4322023-47533
433/2023,18.07.2023,https://www.president.gov.ua/documents/4332023-47537
434/2023,18.07.2023,https://www.president.gov.ua/documents/4342023-47529
435/2023,18.07.2023,https://www.president.gov.ua/documents/4352023-47549
436/2023,18.07.2023,https://www.president.gov.ua/documents/4362023-47545
437/2023,18.07.2023,https://www.president.gov.ua/documents/4372023-47553
438/2023,18.07.2023,https://www.president.gov.ua/documents/4382023-47541
375/2023,07.07.2023,https://www.president.gov.ua/documents/3752023-47585
358/2023,30.06.2023,https://www.president.gov.ua/documents/3582023-47173
360/2023,30.06.2023,https://www.president.gov.ua/documents/3602023-47145
361/2023,30.06.2023,https://www.president.gov.ua/documents/3612023-47141
362/2023,30.06.2023,https://www.president.gov.ua/documents/3622023-47181
363/2023,30.06.2023,https://www.president.gov.ua/documents/3632023-47177
350/2023,24.06.2023,https://www.president.gov.ua/documents/3502023-47137
345/2023,21.06.2023,https://www.president.gov.ua/documents/3452023-47109
336/2023,19.06.2023,https://www.president.gov.ua/documents/3362023-47073
337/2023,19.06.2023,https://www.president.gov.ua/documents/3372023-47077
338/2023,19.06.2023,https://www.president.gov.ua/documents/3382023-47093
330/2023,14.06.2023,https://www.president.gov.ua/documents/3302023-47041
331/2023,14.06.2023,https://www.president.gov.ua/documents/3312023-47037
332/2023,14.06.2023,https://www.president.gov.ua/documents/3322023-47045
333/2023,14.06.2023,https://www.president.gov.ua/documents/3332023-46949
328/2023,13.06.2023,https://www.president.gov.ua/documents/3282023-47025
320/2023,07.06.2023,https://www.president.gov.ua/documents/3202023-46997
316/2023,06.06.2023,https://www.president.gov.ua/documents/3162023-46977
317/2023,06.06.2023,https://www.president.gov.ua/documents/3172023-46985
318/2023,06.06.2023,https://www.president.gov.ua/documents/3182023-46969
313/2023,02.06.2023,https://www.president.gov.ua/documents/3132023-46957
314/2023,02.06.2023,https://www.president.gov.ua/documents/3142023-46961
315/2023,02.06.2023,https://www.president.gov.ua/documents/3152023-46953
309/2023,30.05.2023,https://www.president.gov.ua/documents/3092023-46929
310/2023,30.05.2023,https://www.president.gov.ua/documents/3102023-46925
306/2023,26.05.2023,https://www.president.gov.ua/documents/3062023-46913
302/2023,25.05.2023,https://www.president.gov.ua/documents/3022023-46877
303/2023,25.05.2023,https://www.president.gov.ua/documents/3032023-46873
304/2023,25.05.2023,https://www.president.gov.ua/documents/3042023-46885
305/2023,25.05.2023,https://www.president.gov.ua/documents/3052023-46881
296/2023,24.05.2023,https://www.president.gov.ua/documents/2962023-46869
284/2023,18.05.2023,https://www.president.gov.ua/documents/2842023-46813
282/2023,16.05.2023,https://www.president.gov.ua/documents/2822023-46773
272/2023,11.05.2023,https://www.president.gov.ua/documents/2722023-46725
269/2023,10.05.2023,https://www.president.gov.ua/documents/2692023-46705
270/2023,10.05.2023,https://www.president.gov.ua/documents/2702023-46701
262/2023,05.05.2023,https://www.president.gov.ua/documents/2622023-46681
259/2023,02.05.2023,https://www.president.gov.ua/documents/2592023-46677
260/2023,02.05.2023,https://www.president.gov.ua/documents/2602023-46661
256/2023,01.05.2023,https://www.president.gov.ua/documents/2562023-46649
257/2023,01.05.2023,https://www.president.gov.ua/documents/2572023-46653
258/2023,01.05.2023,https://www.president.gov.ua/documents/2582023-46657
253/2023,30.04.2023,https://www.president.gov.ua/documents/2532023-46621
243/2023,28.04.2023,https://www.president.gov.ua/documents/2432023-46589
244/2023,28.04.2023,https://www.president.gov.ua/documents/2442023-46597
245/2023,28.04.2023,https://www.president.gov.ua/documents/2452023-46601
246/2023,28.04.2023,https://www.president.gov.ua/documents/2462023-46593
247/2023,28.04.2023,https://www.president.gov.ua/documents/2472023-46585
238/2023,26.04.2023,https://www.president.gov.ua/documents/2382023-46617
234/2023,21.04.2023,https://www.president.gov.ua/documents/2342023-46581
229/2023,17.04.2023,https://www.president.gov.ua/documents/2292023-46545
230/2023,17.04.2023,https://www.president.gov.ua/documents/2302023-46541
224/2023,14.04.2023,https://www.president.gov.ua/documents/2242023-46469
215/2023,13.04.2023,https://www.president.gov.ua/documents/2152023-46453
217/2023,13.04.2023,https://www.president.gov.ua/documents/2172023-46429
218/2023,13.04.2023,https://www.president.gov.ua/documents/2182023-46433
219/2023,13.04.2023,https://www.president.gov.ua/documents/2192023-46445
220/2023,13.04.2023,https://www.president.gov.ua/documents/2202023-46425
206/2023,12.04.2023,https://www.president.gov.ua/documents/2062023-46437
198/2023,07.04.2023,https://www.president.gov.ua/documents/1982023-46309
199/2023,07.04.2023,https://www.president.gov.ua/documents/1992023-46297
200/2023,07.04.2023,https://www.president.gov.ua/documents/2002023-46293
201/2023,07.04.2023,https://www.president.gov.ua/documents/2012023-46301
202/2023,07.04.2023,https://www.president.gov.ua/documents/2022023-46305
203/2023,07.04.2023,https://www.president.gov.ua/documents/2032023-46289
187/2023,30.03.2023,https://www.president.gov.ua/documents/1872023-46261
188/2023,30.03.2023,https://www.president.gov.ua/documents/1882023-46265
190/2023,30.03.2023,https://www.president.gov.ua/documents/1902023-46253
185/2023,25.03.2023,https://www.president.gov.ua/documents/1852023-46241
178/2023,24.03.2023,https://www.president.gov.ua/documents/1782023-46229
179/2023,24.03.2023,https://www.president.gov.ua/documents/1792023-46237
183/2023,24.03.2023,https://www.president.gov.ua/documents/1832023-46205
184/2023,24.03.2023,https://www.president.gov.ua/documents/1842023-46201
176/2023,23.03.2023,https://www.president.gov.ua/documents/1762023-46197
168/2023,21.03.2023,https://www.president.gov.ua/documents/1682023-46153
170/2023,21.03.2023,https://www.president.gov.ua/documents/1702023-46173
173/2023,21.03.2023,https://www.president.gov.ua/documents/1732023-46185
164/2023,20.03.2023,https://www.president.gov.ua/documents/1642023-46157
165/2023,20.03.2023,https://www.president.gov.ua/documents/1652023-46161
161/2023,17.03.2023,https://www.president.gov.ua/documents/1612023-46121
162/2023,17.03.2023,https://www.president.gov.ua/documents/1622023-46093
154/2023,16.03.2023,https://www.president.gov.ua/documents/1542023-46117
147/2023,14.03.2023,https://www.president.gov.ua/documents/1472023-46097
148/2023,14.03.2023,https://www.president.gov.ua/documents/1482023-46101
144/2023,10.03.2023,https://www.president.gov.ua/documents/1442023-46081
141/2023,08.03.2023,https://www.president.gov.ua/documents/1412023-46065
138/2023,07.03.2023,https://www.president.gov.ua/documents/1382023-46057
139/2023,07.03.2023,https://www.president.gov.ua/documents/1392023-46069
118/2023,02.03.2023,https://www.president.gov.ua/documents/1182023-45993
120/2023,02.03.2023,https://www.president.gov.ua/documents/1202023-45977
121/2023,02.03.2023,https://www.president.gov.ua/documents/1212023-45973
122/2023,02.03.2023,https://www.president.gov.ua/documents/1222023-45989
123/2023,02.03.2023,https://www.president.gov.ua/documents/1232023-45981
124/2023,02.03.2023,https://www.president.gov.ua/documents/1242023-46009
125/2023,02.03.2023,https://www.president.gov.ua/documents/1252023-45997
126/2023,02.03.2023,https://www.president.gov.ua/documents/1262023-46013
110/2023,26.02.2023,https://www.president.gov.ua/documents/1102023-45941
111/2023,26.02.2023,https://www.president.gov.ua/documents/1112023-45937
112/2023,26.02.2023,https://www.president.gov.ua/documents/1122023-45945
90/2023,23.02.2023,https://www.president.gov.ua/documents/902023-45841
91/2023,23.02.2023,https://www.president.gov.ua/documents/912023-45861
92/2023,23.02.2023,https://www.president.gov.ua/documents/922023-45865
93/2023,23.02.2023,https://www.president.gov.ua/documents/932023-45857
96/2023,23.02.2023,https://www.president.gov.ua/documents/962023-45877
97/2023,23.02.2023,https://www.president.gov.ua/documents/972023-45881
87/2023,21.02.2023,https://www.president.gov.ua/documents/872023-45837
81/2023,15.02.2023,https://www.president.gov.ua/documents/812023-45745
78/2023,14.02.2023,https://www.president.gov.ua/documents/782023-45753
79/2023,14.02.2023,https://www.president.gov.ua/documents/792023-45749
62/2023,07.02.2023,https://www.president.gov.ua/documents/622023-45725
63/2023,07.02.2023,https://www.president.gov.ua/documents/632023-45729
55/2023,02.02.2023,https://www.president.gov.ua/documents/552023-45709
53/2023,01.02.2023,https://www.president.gov.ua/documents/532023-45697
54/2023,01.02.2023,https://www.president.gov.ua/documents/542023-45693
47/2023,27.01.2023,https://www.president.gov.ua/documents/472023-45685
48/2023,27.01.2023,https://www.president.gov.ua/documents/482023-45681
49/2023,27.01.2023,https://www.president.gov.ua/documents/492023-45677
45/2023,26.01.2023,https://www.president.gov.ua/documents/452023-45665
46/2023,26.01.2023,https://www.president.gov.ua/documents/462023-45669
29/2023,24.01.2023,https://www.president.gov.ua/documents/292023-45625
34/2023,24.01.2023,https://www.president.gov.ua/documents/342023-45609
35/2023,24.01.2023,https://www.president.gov.ua/documents/352023-45605
25/2023,20.01.2023,https://www.president.gov.ua/documents/252023-45597
24/2023,17.01.2023,https://www.president.gov.ua/documents/242023-45593
16/2023,13.01.2023,https://www.president.gov.ua/documents/162023-45565
17/2023,13.01.2023,https://www.president.gov.ua/documents/172023-45557
20/2023,13.01.2023,https://www.president.gov.ua/documents/202023-45577
21/2023,13.01.2023,https://www.president.gov.ua/documents/212023-45561
22/2023,13.01.2023,https://www.president.gov.ua/documents/222023-45573
10/2023,09.01.2023,https://www.president.gov.ua/documents/102023-45521
6/2023,09.01.2023,https://www.president.gov.ua/documents/62023-45537
7/2023,09.01.2023,https://www.president.gov.ua/documents/72023-45533
8/2023,09.01.2023,https://www.president.gov.ua/documents/82023-45529
9/2023,09.01.2023,https://www.president.gov.ua/documents/92023-45525
902/2022,30.12.2022,https://www.president.gov.ua/documents/9022022-45493
903/2022,30.12.2022,https://www.president.gov.ua/documents/9032022-45341
899/2022,28.12.2022,https://www.president.gov.ua/documents/8992022-45469
900/2022,28.12.2022,https://www.president.gov.ua/documents/9002022-45473
901/2022,28.12.2022,https://www.president.gov.ua/documents/9012022-45477
890/2022,27.12.2022,https://www.president.gov.ua/documents/8902022-45441
891/2022,27.12.2022,https://www.president.gov.ua/documents/8912022-45465
873/2022,23.12.2022,https://www.president.gov.ua/documents/8732022-45337
874/2022,23.12.2022,https://www.president.gov.ua/documents/8742022-45409
885/2022,23.12.2022,https://www.president.gov.ua/documents/8852022-45333
886/2022,23.12.2022,https://www.president.gov.ua/documents/8862022-45329
871/2022,22.12.2022,https://www.president.gov.ua/documents/8712022-45357
870/2022,21.12.2022,https://www.president.gov.ua/documents/8702022-45325
869/2022,19.12.2022,https://www.president.gov.ua/documents/8692022-45345
864/2022,12.12.2022,https://www.president.gov.ua/documents/8642022-45285
861/2022,11.12.2022,https://www.president.gov.ua/documents/8612022-45249
847/2022,07.12.2022,https://www.president.gov.ua/documents/8472022-45193
832/2022,06.12.2022,https://www.president.gov.ua/documents/8322022-45121
830/2022,05.12.2022,https://www.president.gov.ua/documents/8302022-45117
823/2022,02.12.2022,https://www.president.gov.ua/documents/8232022-45105
824/2022,02.12.2022,https://www.president.gov.ua/documents/8242022-45109
818/2022,01.12.2022,https://www.president.gov.ua/documents/8182022-45073
819/2022,01.12.2022,https://www.president.gov.ua/documents/8192022-45093
803/2022,28.11.2022,https://www.president.gov.ua/documents/8032022-44977
804/2022,28.11.2022,https://www.president.gov.ua/documents/8042022-44981
805/2022,28.11.2022,https://www.president.gov.ua/documents/8052022-44993
806/2022,28.11.2022,https://www.president.gov.ua/documents/8062022-44989
807/2022,28.11.2022,https://www.president.gov.ua/documents/8072022-44997
798/2022,23.11.2022,https://www.president.gov.ua/documents/7982022-44961
799/2022,23.11.2022,https://www.president.gov.ua/documents/7992022-44965
796/2022,22.11.2022,https://www.president.gov.ua/documents/7962022-44957
795/2022,21.11.2022,https://www.president.gov.ua/documents/7952022-44941
793/2022,19.11.2022,https://www.president.gov.ua/documents/7932022-44933
779/2022,17.11.2022,https://www.president.gov.ua/documents/7792022-44869
780/2022,17.11.2022,https://www.president.gov.ua/documents/7802022-44853
781/2022,17.11.2022,https://www.president.gov.ua/documents/7812022-44865
782/2022,17.11.2022,https://www.president.gov.ua/documents/7822022-44861
783/2022,17.11.2022,https://www.president.gov.ua/documents/7832022-44857
768/2022,14.11.2022,https://www.president.gov.ua/documents/7682022-44817
759/2022,09.11.2022,https://www.president.gov.ua/documents/7592022-44757
753/2022,07.11.2022,https://www.president.gov.ua/documents/7532022-44713
755/2022,07.11.2022,https://www.president.gov.ua/documents/7552022-44721
756/2022,07.11.2022,https://www.president.gov.ua/documents/7562022-44725
751/2022,04.11.2022,https://www.president.gov.ua/documents/7512022-44709
752/2022,04.11.2022,https://www.president.gov.ua/documents/7522022-44797
747/2022,03.11.2022,https://www.president.gov.ua/documents/7472022-44693
744/2022,31.10.2022,https://www.president.gov.ua/documents/7442022-44645
745/2022,31.10.2022,https://www.president.gov.ua/documents/7452022-44653
746/2022,31.10.2022,https://www.president.gov.ua/documents/7462022-44649
735/2022,25.10.2022,https://www.president.gov.ua/documents/7352022-44533
729/2022,20.10.2022,https://www.president.gov.ua/documents/7292022-44497
698/2022,14.10.2022,https://www.president.gov.ua/documents/6982022-44477
711/2022,14.10.2022,https://www.president.gov.ua/documents/7112022-44457
718/2022,14.10.2022,https://www.president.gov.ua/documents/7182022-44429
695/2022,13.10.2022,https://www.president.gov.ua/documents/6952022-44381
696/2022,13.10.2022,https://www.president.gov.ua/documents/6962022-44377
689/2022,06.10.2022,https://www.president.gov.ua/documents/6892022-44361
676/2022,30.09.2022,https://www.president.gov.ua/documents/6762022-44241
672/2022,28.09.2022,https://www.president.gov.ua/documents/6722022-44217
674/2022,28.09.2022,https://www.president.gov.ua/documents/6742022-44225
668/2022,26.09.2022,https://www.president.gov.ua/documents/6682022-44201
652/2022,16.09.2022,https://www.president.gov.ua/documents/6522022-43997
650/2022,14.09.2022,https://www.president.gov.ua/documents/6502022-43985
647/2022,13.09.2022,https://www.president.gov.ua/documents/6472022-43981
642/2022,12.09.2022,https://www.president.gov.ua/documents/6422022-43929
643/2022,12.09.2022,https://www.president.gov.ua/documents/6432022-43925
636/2022,07.09.2022,https://www.president.gov.ua/documents/6362022-43913
627/2022,06.09.2022,https://www.president.gov.ua/documents/6272022-43801
628/2022,06.09.2022,https://www.president.gov.ua/documents/6282022-43805
619/2022,31.08.2022,https://www.president.gov.ua/documents/6192022-43797
617/2022,29.08.2022,https://www.president.gov.ua/documents/6172022-43773
598/2022,24.08.2022,https://www.president.gov.ua/documents/5982022-43769
614/2022,24.08.2022,https://www.president.gov.ua/documents/6142022-43693
593/2022,23.08.2022,https://www.president.gov.ua/documents/5932022-43681
595/2022,23.08.2022,https://www.president.gov.ua/documents/5952022-43765
590/2022,22.08.2022,https://www.president.gov.ua/documents/5902022-43689
583/2022,17.08.2022,https://www.president.gov.ua/documents/5832022-43673
585/2022,17.08.2022,https://www.president.gov.ua/documents/5852022-43665
582/2022,16.08.2022,https://www.president.gov.ua/documents/5822022-43649
580/2022,15.08.2022,https://www.president.gov.ua/documents/5802022-43601
571/2022,12.08.2022,https://www.president.gov.ua/documents/5712022-43597
572/2022,12.08.2022,https://www.president.gov.ua/documents/5722022-43589
570/2022,09.08.2022,https://www.president.gov.ua/documents/5702022-43585
569/2022,08.08.2022,https://www.president.gov.ua/documents/5692022-43573
562/2022,05.08.2022,https://www.president.gov.ua/documents/5622022-43541
556/2022,04.08.2022,https://www.president.gov.ua/documents/5562022-43537
557/2022,04.08.2022,https://www.president.gov.ua/documents/5572022-43517
558/2022,04.08.2022,https://www.president.gov.ua/documents/5582022-43513
551/2022,02.08.2022,https://www.president.gov.ua/documents/5512022-43493
548/2022,01.08.2022,https://www.president.gov.ua/documents/5482022-43405
541/2022,29.07.2022,https://www.president.gov.ua/documents/5412022-43481
540/2022,28.07.2022,https://www.president.gov.ua/documents/5402022-43193
532/2022,27.07.2022,https://www.president.gov.ua/documents/5322022-43449
524/2022,22.07.2022,https://www.president.gov.ua/documents/5242022-43401
526/2022,22.07.2022,https://www.president.gov.ua/documents/5262022-43421
523/2022,21.07.2022,https://www.president.gov.ua/documents/5232022-43397
517/2022,19.07.2022,https://www.president.gov.ua/documents/5172022-43317
498/2022,15.07.2022,https://www.president.gov.ua/documents/4982022-43313
